  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
       148      1.691           1.694           2.959           2.278           1.143           0.224
       149      1.639           1.637           2.889           2.203           1.095           0.380
       150      1.776           1.770           3.036           2.343           1.420           0.414
       151      1.857           1.848           3.090           2.407           1.309           0.509
       152      1.825           1.820           3.042           2.369           1.154           0.375
       153      1.745           1.742           2.922           2.268           1.536           0.471
       154      1.878           1.872           2.991           2.366           1.510           0.407
       155      1.741           1.739           2.900           2.263           0.956           0.249
       156      1.800           1.793           2.999           2.347           1.201           0.426
       157      1.729           1.730           2.920           2.258           1.282           0.369
       158      1.706           1.705           2.857           2.219           0.968           0.431
       159      1.793           1.791           2.960           2.309           1.312           0.262
       160      1.705           1.707           2.913           2.252           1.104           0.312
       161      1.712           1.710           2.922           2.249           1.031           0.269
       162      1.736           1.734           2.880           2.231           1.149           0.327
       163      1.622           1.620           2.812           2.153           1.132           0.503
       164      1.439           1.446           2.696           2.014           1.020           0.246
       165      1.781           1.779           2.956           2.306           1.005           0.384
       166      1.644           1.644           2.875           2.190           1.202           0.325
       167      1.822           1.809           3.010           2.355           1.509           0.477
       168      1.698           1.695           2.984           2.292           1.531           0.480
       169      1.780           1.788           2.930           2.285           1.438           0.422
       170      1.688           1.687           2.931           2.253           1.718           0.393
       171      1.685           1.683           2.977           2.260           1.132           0.205
       172      1.792           1.789           3.016           2.341           0.831           0.371
       173      1.668           1.662           2.999           2.283           0.690           0.371
       174      1.681           1.675           2.985           2.262           1.131           0.347
       175      1.523           1.508           2.883           2.135           1.127           0.391
       176      1.651           1.642           2.944           2.232           1.169           0.221
       177      1.572           1.564           2.895           2.178           0.951           0.199
       178      1.546           1.544           2.835           2.122           0.814           0.340
       179      1.577           1.572           2.827           2.133           0.893           0.327
       180      1.835           1.828           3.045           2.371           0.955           0.348
       181      1.634           1.622           2.906           2.199           1.256           0.364
       182      1.696           1.680           2.981           2.273           1.211           0.261
       183      1.674           1.670           2.923           2.245           0.816           0.314
       184      1.519           1.508           2.810           2.117           0.595           0.318
       185      1.621           1.607           2.917           2.205           1.506           0.244
       186      1.661           1.648           2.915           2.218           1.457           0.321
       187      1.730           1.721           2.995           2.282           1.320           0.327
       188      1.751           1.744           2.953           2.282           0.749           0.287
       189      1.700           1.686           2.950           2.251           1.249           0.333
       190      1.755           1.742           2.942           2.270           1.482           0.256
       191      1.716           1.697           2.976           2.267           0.876           0.252
       192      1.857           1.846           3.074           2.383           0.723           0.374
       193      2.052           2.026           3.248           2.546           2.068           0.283
       194      1.819           1.801           3.084           2.368           1.221           0.265
       195      1.825           1.813           2.980           2.309           1.495           0.285
       196      1.854           1.835           3.040           2.353           1.056           0.237
       197      1.767           1.754           3.015           2.315           1.233           0.377
       198      1.877           1.859           3.083           2.383           1.780           0.322
       199      1.965           1.946           3.165           2.466           1.163           0.199
       200      1.922           1.907           3.185           2.470           1.043           0.272
       201      1.990           1.975           3.229           2.529           1.169           0.473
